"","H_num","POP_ID","Above_weight_avg","Tot_weight_avg","Below_weight_avg","RE_avg","RGR_Above_ln","RGR_Below_ln","RGR_Tot_ln","RER_ln","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm","Days"
"HEAN_AZSE_HWD.56","H4","HEAN_AZSE_HWD",2.8069,3.67275,0.86585,12870.48425,0.134580107031444,0.139705325210512,0.135692778973147,0.139118261040968,"HEAN","AZSE","HWD","FORB","84"
"HEAN_UTEC_CI.57","H1","HEAN_UTEC_CI",0.0026635,0.0037635,0.0011,11.970725,NA,NA,NA,NA,"HEAN","UTEC","CI","FORB","10"
"HEAN_UTEC_CI.58","H2","HEAN_UTEC_CI",0.0061,0.00895,0.00285,72.64575,0.0591891231288821,0.0680006296054453,0.061878868342451,0.12879505734476,"HEAN","UTEC","CI","FORB","24"
"HEAN_UTEC_CI.59","H3","HEAN_UTEC_CI",0.0265666666666667,0.0318333333333333,0.00526666666666667,169.980866666667,0.0817426958860441,0.0341154809491251,0.0704922459184339,0.0472272773915168,"HEAN","UTEC","CI","FORB","42"
"HEAN_UTEC_CI.60","H4","HEAN_UTEC_CI",3.76043333333333,3.76043333333333,NA,NA,0.117919813829578,NA,0.113613702836946,NA,"HEAN","UTEC","CI","FORB","84"
"HEAN_UTEC_ONWR.61","H1","HEAN_UTEC_ONWR",0.003125,0.0041,0.000975,18.7837,NA,NA,NA,NA,"HEAN","UTEC","ONWR","FORB","10"
"HEAN_UTEC_ONWR.62","H2","HEAN_UTEC_ONWR",0.018525,0.0245,0.005975,151.92565,0.127120491999556,0.129492993271562,0.127691867417173,0.149314413140011,"HEAN","UTEC","ONWR","FORB","24"
"HEAN_UTEC_ONWR.63","H3","HEAN_UTEC_ONWR",0.0807333333333333,0.0996,0.0188666666666667,441.545733333333,0.0817794650704851,0.0638784777068585,0.0779160581688817,0.0592716858055096,"HEAN","UTEC","ONWR","FORB","42"
"HEAN_UTEC_ONWR.64","H4","HEAN_UTEC_ONWR",3.36506666666667,4.05003333333333,0.684966666666667,10777.7333333333,0.0888107502671359,0.0855231780651592,0.0882218625221152,0.0760703798926468,"HEAN","UTEC","ONWR","FORB","84"
"HEAN_UTSE_VNS.65","H1","HEAN_UTSE_VNS",0.003,0.0036,6e-04,13.1578,NA,NA,NA,NA,"HEAN","UTSE","VNS","FORB","10"
"HEAN_UTSE_VNS.66","H2","HEAN_UTSE_VNS",0.00933333333333333,0.0145666666666667,0.00523333333333333,105.795933333333,0.0810699952027847,0.154705289103725,0.0998429977122408,0.148892667336607,"HEAN","UTSE","VNS","FORB","24"
"HEAN_UTSE_VNS.67","H3","HEAN_UTSE_VNS",0.0587666666666667,0.0696333333333333,0.0108666666666667,273.896266666667,0.10222125440159,0.0405917542232444,0.0869170870256097,0.0528465202508372,"HEAN","UTSE","VNS","FORB","42"
"HECO_AZNC_KV.68","H1","HECO_AZNC_KV",0.003125,0.005425,0.0023,16.640875,NA,NA,NA,NA,"HECO","AZNC","KV","GRASS","10"
"HECO_AZNC_KV.69","H2","HECO_AZNC_KV",0.017125,0.026625,0.0095,135.432225,0.121507507211423,0.101313048262242,0.113630908900219,0.149757808038481,"HECO","AZNC","KV","GRASS","24"
"HECO_AZNC_KV.70","H3","HECO_AZNC_KV",0.0218666666666667,0.0327666666666667,0.0109,400.510833333333,0.0135791123963136,0.00763727725714459,0.0115311730253012,0.0602371936100055,"HECO","AZNC","KV","GRASS","42"
"HECO_AZNC_KV.71","H4","HECO_AZNC_KV",1.3476,1.8306,0.483,5696.0604,0.0981218358154872,0.090267949152797,0.0957854124396588,0.063209267650099,"HECO","AZNC","KV","GRASS","84"
"HECO_UTC_KRRS.72","H1","HECO_UTC_KRRS",0.004275,0.00935,0.005075,53.580925,NA,NA,NA,NA,"HECO","UTC","KRRS","GRASS","10"
"HECO_UTC_KRRS.73","H2","HECO_UTC_KRRS",0.0141,0.01995,0.00585,105.734625,0.0852421924996714,0.0101510811654225,0.0541323428596626,0.0485528063866728,"HECO","UTC","KRRS","GRASS","24"
"HECO_UTC_KRRS.74","H3","HECO_UTC_KRRS",0.0376666666666667,0.058,0.0203333333333333,301.022366666667,0.0545889295922282,0.0692122174589687,0.0592896592894748,0.0581251195869755,"HECO","UTC","KRRS","GRASS","42"
"HECO_UTC_KRRS.75","H4","HECO_UTC_KRRS",0.459975,0.7904,0.330425,3663.395,0.059580871669903,0.0663837649794921,0.0621927651401723,0.0594990719576667,"HECO","UTC","KRRS","GRASS","84"
"HECO_UTC_TMR.76","H1","HECO_UTC_TMR",0.002525,0.00385,0.001325,26.058025,NA,NA,NA,NA,"HECO","UTC","TMR","GRASS","10"
"HECO_UTC_TMR.77","H2","HECO_UTC_TMR",0.01115,0.017575,0.006425,107.79155,0.106085602512772,0.112770297953078,0.108457449242645,0.101419534808872,"HECO","UTC","TMR","GRASS","24"
"HECO_UTC_TMR.78","H3","HECO_UTC_TMR",0.0221666666666667,0.0304666666666667,0.0083,177.157866666667,0.0381750089493095,0.0142254935567372,0.030564208449737,0.0276023315352408,"HECO","UTC","TMR","GRASS","42"
"HECO_UTC_TMR.79","H4","HECO_UTC_TMR",0.513166666666667,0.6792,0.166033333333333,2671.82476666667,0.0748097861833987,0.0713317394430613,0.0739114867905986,0.0646065646197995,"HECO","UTC","TMR","GRASS","84"
"HECO_UTEC_GRC.80","H1","HECO_UTEC_GRC",0.0038,0.005725,0.001925,30.647575,NA,NA,NA,NA,"HECO","UTEC","GRC","GRASS","10"
"HECO_UTEC_GRC.81","H2","HECO_UTEC_GRC",0.01485,0.0206,0.00575,88.760075,0.0973570570368835,0.0781624205049651,0.0914606090253737,0.0759559573481121,"HECO","UTEC","GRC","GRASS","24"
"HECO_UTEC_GRC.82","H3","HECO_UTEC_GRC",0.0599,0.0826333333333333,0.0227333333333333,272.428066666667,0.077482035548483,0.0763684678540026,0.0771734485876389,0.062302092260067,"HECO","UTEC","GRC","GRASS","42"
"HECO_UTEC_GRC.83","H4","HECO_UTEC_GRC",0.549666666666667,0.778766666666667,0.2291,5444.93235,0.0527770363992878,0.0550077693637653,0.053411864793304,0.0713110954125476,"HECO","UTEC","GRC","GRASS","84"
"HECO_UTSW_SPR.84","H1","HECO_UTSW_SPR",0.004475,0.007025,0.00255,28.544625,NA,NA,NA,NA,"HECO","UTSW","SPR","GRASS","10"
"HECO_UTSW_SPR.85","H2","HECO_UTSW_SPR",0.009175,0.01755,0.008375,128.398275,0.0512840030152725,0.0849398370386282,0.0653984810494332,0.107404878886294,"HECO","UTSW","SPR","GRASS","24"
"HECO_UTSW_SPR.86","H3","HECO_UTSW_SPR",0.0357,0.0523666666666667,0.0166666666666667,230.0318,0.075481571935831,0.0382310910582726,0.0607342392600884,0.0323933668694128,"HECO","UTSW","SPR","GRASS","42"
"HECO_UTSW_SPR.87","H4","HECO_UTSW_SPR",0.3236,0.4705,0.1469,1229.12643333333,0.0524847022952082,0.0518176515814237,0.0522744214864755,0.0399009861667919,"HECO","UTSW","SPR","GRASS","84"
"HEVI_AZNC_KV.88","H1","HEVI_AZNC_KV",0.00037,0.000488333333333333,0.000118333333333333,2.65973333333333,NA,NA,NA,NA,"HEVI","AZNC","KV","FORB","10"
"HEVI_AZNC_KV.89","H2","HEVI_AZNC_KV",0.00149666666666667,0.00395733333333333,0.00246066666666667,21.0109,0.0998209061735657,0.216763006722466,0.149451960282571,0.147629677395874,"HEVI","AZNC","KV","FORB","24"
"HEVI_AZNC_KV.90","H3","HEVI_AZNC_KV",0.0039,0.00493333333333333,0.00103333333333333,36.9450666666667,0.053207563336086,-0.0482023607287059,0.0122469163525025,0.031355043002182,"HEVI","AZNC","KV","FORB","42"
"HEVI_AZNC_KV.91","H4","HEVI_AZNC_KV",0.0982,0.132433333333333,0.0342333333333333,517.518833333333,0.0768102300529719,0.0833430953677003,0.0783348686202496,0.0628479474444963,"HEVI","AZNC","KV","FORB","84"
"HEVI_COSW_DE.92","H1","HEVI_COSW_DE",0.000276666666666667,0.000395333333333333,0.000118666666666667,4.03973333333333,NA,NA,NA,NA,"HEVI","COSW","DE","FORB","10"
"HEVI_COSW_DE.93","H2","HEVI_COSW_DE",0.00045675,0.000938,0.00048125,16.045675,0.0358087702239701,0.100004888815577,0.0617157612940474,0.0985186185473928,"HEVI","COSW","DE","FORB","24"
"HEVI_COSW_DE.94","H3","HEVI_COSW_DE",0.005155,0.029705,0.02455,62.2424,0.134643677844052,0.218448902645593,0.191962261765756,0.0753109498155915,"HEVI","COSW","DE","FORB","42"
"HEVI_COSW_DE.95","H4","HEVI_COSW_DE",0.0819666666666667,0.0989,0.0169333333333333,262.985166666667,0.0658653700734551,-0.00884351876962389,0.0286379489719277,0.0343109807271955,"HEVI","COSW","DE","FORB","84"
"HEVI_NMNW_NC.96","H1","HEVI_NMNW_NC",0.000803666666666667,0.000906666666666667,0.000103,3.65303333333333,NA,NA,NA,NA,"HEVI","NMNW","NC","FORB","10"
"HEVI_NMNW_NC.97","H2","HEVI_NMNW_NC",0.0014275,0.00213825,0.00071075,20.9728,0.041035382286936,0.137970840164391,0.061283438988497,0.124833463385045,"HEVI","NMNW","NC","FORB","24"
"HEVI_NMNW_NC.98","H3","HEVI_NMNW_NC",0.00318,0.00462,0.00144,31.00262,0.044497585235781,0.0392265356688298,0.0428003870897163,0.0217136309422549,"HEVI","NMNW","NC","FORB","42"
"HEVI_NMNW_NC.99","H4","HEVI_NMNW_NC",0.1216,0.148975,0.027375,383.29075,0.0867584707795234,0.0701187398702085,0.0826996143223666,0.0598743362504562,"HEVI","NMNW","NC","FORB","84"
"HEVI_NMNW_ND.100","H1","HEVI_NMNW_ND",0.00049625,0.00074225,0.000246,6.671875,NA,NA,NA,NA,"HEVI","NMNW","ND","FORB","10"
"HEVI_NMNW_ND.101","H2","HEVI_NMNW_ND",0.00096,0.00174675,0.00078675,24.152725,0.047132389461463,0.0830413571437253,0.0611304345563351,0.0918925914502143,"HEVI","NMNW","ND","FORB","24"
"HEVI_NMNW_ND.102","H3","HEVI_NMNW_ND",0.00255,0.0041,0.00155,33.86335,0.0542730752050328,0.0376722041093765,0.0474016697366577,0.0187742276909831,"HEVI","NMNW","ND","FORB","42"
"HEVI_NMNW_ND.103","H4","HEVI_NMNW_ND",0.18665,0.24795,0.0613,813.727125,0.10221766300453,0.0875601169526431,0.0976723842672591,0.0756974231885462,"HEVI","NMNW","ND","FORB","84"
"MACA_NMNW_CU.104","H1","MACA_NMNW_CU",0.00081715,0.00088613,6.898e-05,2.04615,NA,NA,NA,NA,"MACA","NMNW","CU","FORB","10"
"MACA_NMNW_CU.105","H2","MACA_NMNW_CU",0.001275,0.001875,6e-04,18.110725,0.0317770557895329,0.154508074836247,0.05353573369289,0.15575316611427,"MACA","NMNW","CU","FORB","24"
"MACA_NMNW_CU.106","H3","MACA_NMNW_CU",0.00441666666666667,0.00711666666666667,0.0027,78.8304666666667,0.0690243936196518,0.0835598553764597,0.0741017106435639,0.0817108472634143,"MACA","NMNW","CU","FORB","42"
"MACA_NMNW_CU.107","H4","MACA_NMNW_CU",0.449033333333333,0.718866666666667,0.269833333333333,2582.57366666667,0.110040758577912,0.109632207415221,0.109886582066032,0.0830771945464611,"MACA","NMNW","CU","FORB","84"
"MACA_NMNW_FC.108","H1","MACA_NMNW_FC",0.00051614,0.00059508,7.894e-05,2.89944,NA,NA,NA,NA,"MACA","NMNW","FC","FORB","10"
"MACA_NMNW_FC.109","H2","MACA_NMNW_FC",0.00241666666666667,0.00326666666666667,0.00085,26.4464666666667,0.110269029476401,0.169753448517833,0.121630680407251,0.15790035350732,"MACA","NMNW","FC","FORB","24"
"MACA_NMNW_FC.110","H3","MACA_NMNW_FC",0.0195666666666667,0.0315,0.0119333333333333,278.765066666667,0.116191014331526,0.146769696346462,0.125900969379065,0.130847044896444,"MACA","NMNW","FC","FORB","42"
"MACA_NMNW_FC.111","H4","MACA_NMNW_FC",0.531066666666667,0.810333333333333,0.279266666666667,2611.7131,0.07859666963032,0.07506741702634,0.0773204319003911,0.0532712445958124,"MACA","NMNW","FC","FORB","84"
"MACA_UTC_MK.112","H1","MACA_UTC_MK",0.00056025,0.000927925,0.000367675,5.996625,NA,NA,NA,NA,"MACA","UTC","MK","FORB","10"
