"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"51","h1","MACA",-1.2978542429431,-0.771916626218853,0.117037354932412,0.97882676517889,1.46777459147335,"rel_LDMC2"
"52","h1","MUPO",-1.83886219659753,-1.2056900262805,-0.156830209614049,0.876087293293995,1.44836837570144,"rel_LDMC2"
"53","h1","PAMU",-2.14861162029699,-1.36280565623807,0.130593423066365,1.59838792685098,2.32620939710591,"rel_LDMC2"
"54","h1","PLPA",-1.0505608824548,-0.509794733526611,0.363180788080784,1.23527397497986,1.77969249231697,"rel_LDMC2"
"55","h1","VUOC",-1.58689961670706,-1.02158006388273,-0.125616470699601,0.79232371690042,1.32076572239962,"rel_LDMC2"
"56","h2","ACMI",-1.20173120501969,-0.763640085259171,0.0388401204104425,0.873891019200562,1.33276067807638,"rel_LDMC2"
"57","h2","ARTR",NA,NA,NA,NA,NA,"rel_LDMC2"
"58","h2","ELTR",NA,NA,NA,NA,NA,"rel_LDMC2"
"59","h2","HEAN",NA,NA,NA,NA,NA,"rel_LDMC2"
"60","h2","HECO",NA,NA,NA,NA,NA,"rel_LDMC2"
"61","h2","HEVI",NA,NA,NA,NA,NA,"rel_LDMC2"
"62","h2","MACA",NA,NA,NA,NA,NA,"rel_LDMC2"
"63","h2","MUPO",NA,NA,NA,NA,NA,"rel_LDMC2"
"64","h2","PAMU",NA,NA,NA,NA,NA,"rel_LDMC2"
"65","h2","PLPA",NA,NA,NA,NA,NA,"rel_LDMC2"
"66","h2","VUOC",NA,NA,NA,NA,NA,"rel_LDMC2"
"67","h3","ACMI",-1.12680348032142,-0.683554644122723,0.164225816812291,0.970997981262862,1.37623371185715,"rel_LDMC2"
"68","h3","ARTR",-1.12246313161444,-0.448566521679021,0.655994326440131,1.82219112537422,2.43533469107464,"rel_LDMC2"
"69","h3","ELTR",-1.09304118223987,-0.471522897461551,0.79403599548257,2.09461714632491,2.69611967881246,"rel_LDMC2"
"70","h3","HEAN",-1.02638601470823,-0.378044049312907,0.904240844445927,2.16665922283909,2.77522051813441,"rel_LDMC2"
"71","h3","HECO",-0.913239391843374,-0.28103711262349,0.870509923046888,2.03221591865685,2.63234814512255,"rel_LDMC2"
"72","h3","HEVI",-1.02816579352834,-0.216386848731857,1.32331741637821,2.8980997296523,3.67376919980561,"rel_LDMC2"
"73","h3","MACA",-0.973018521592109,-0.344941746561195,0.770507808495935,1.96148355445018,2.5313500425396,"rel_LDMC2"
"74","h3","MUPO",-0.964559707980099,-0.292947371741963,1.0661061795433,2.38462454430678,3.07146598736932,"rel_LDMC2"
"75","h3","PAMU",-1.97719233080175,-1.14697795304076,0.443555999680096,1.9605310762575,2.76844626047863,"rel_LDMC2"
"76","h3","PLPA",-0.668675219066681,-0.057129502539272,1.08504522108508,2.2035654267772,2.82114588234229,"rel_LDMC2"
"77","h3","VUOC",-0.870876093597082,-0.228513151765581,1.02419033351585,2.21848315371957,2.82277374165245,"rel_LDMC2"
"78","h4","ACMI",NA,NA,NA,NA,NA,"rel_LDMC2"
"79","h4","ARTR",-0.938863834848074,-0.304895235825965,0.856676683277501,2.06530945109172,2.67257475670643,"rel_LDMC2"
"80","h4","ELTR",-1.00670241028259,-0.355520688464545,0.86493539961434,2.12873044055922,2.76802867931939,"rel_LDMC2"
"81","h4","HEAN",-0.957783630128003,-0.254051542117087,1.03493835618841,2.36635027267573,3.04863341715839,"rel_LDMC2"
"82","h4","HECO",-0.870359653321862,-0.198706428563488,0.928049524462923,2.07806841078621,2.7044153216242,"rel_LDMC2"
"83","h4","HEVI",-2.02811014410062,-1.28237186696663,0.334176506583606,1.85384727110919,2.67923155873874,"rel_LDMC2"
"84","h4","MACA",-0.679441996751739,-0.0924701600510928,1.0219145996361,2.16423514838307,2.81626082162662,"rel_LDMC2"
"85","h4","MUPO",-1.24953350961436,-0.530398575471235,0.789796880234492,2.1388507822552,2.83479352919928,"rel_LDMC2"
"86","h4","PAMU",-1.38407017266674,-0.580662096545252,0.995437593922016,2.59028105091708,3.37020496694681,"rel_LDMC2"
"87","h4","PLPA",-0.719183938277525,-0.113875288455228,1.00597742724048,2.13023622992527,2.68042354578595,"rel_LDMC2"
"88","h4","VUOC",-0.782632855306502,-0.161172570199003,1.00642074757143,2.23832997915799,2.87051288958622,"rel_LDMC2"
"89","h1","ACMI",-0.300520695500031,-0.131811438110135,0.167441020166797,0.446870830182691,0.626469208628022,"rel_RMR2"
"90","h1","ARTR",-0.473349719156917,-0.308326390092799,-0.0313244987095573,0.238995858714949,0.397960208156974,"rel_RMR2"
"91","h1","ELTR",-0.371938051601414,-0.189532077754452,0.116696959486813,0.423972670446531,0.593122918434775,"rel_RMR2"
"92","h1","HEAN",-0.203948135665303,-0.00759767671265083,0.299341292308822,0.600801332721499,0.796998927588263,"rel_RMR2"
"93","h1","HECO",-0.434514732001511,-0.272931940844762,0.0137743030325963,0.304768574595481,0.478222880406597,"rel_RMR2"
"94","h1","HEVI",-0.0595693119724764,0.122122237909401,0.42978098913241,0.738513831850641,0.912496555855343,"rel_RMR2"
"95","h1","MACA",-0.268528925514347,-0.0997803665672506,0.165631834243654,0.458194340857313,0.631063038876901,"rel_RMR2"
"96","h1","MUPO",-0.600364595862446,-0.412760026703161,-0.0703138437452465,0.257941818355934,0.450674146167852,"rel_RMR2"
"97","h1","PAMU",0.0909192203867308,0.268229500811585,0.561875422860132,0.85205086901514,1.01970750678402,"rel_RMR2"
"98","h1","PLPA",-1.01015715231275,-0.860110903556213,-0.577548557024646,-0.297099380166842,-0.126637096390778,"rel_RMR2"
"99","h1","VUOC",-0.825472589301644,-0.649560743368003,-0.360703620532607,-0.0674295140004659,0.117498595490526,"rel_RMR2"
"100","h2","ACMI",0.15093145835233,0.293857295660829,0.577870858586222,0.852944724690195,0.996684371238698,"rel_RMR2"
"101","h2","ARTR",NA,NA,NA,NA,NA,"rel_RMR2"
"102","h2","ELTR",NA,NA,NA,NA,NA,"rel_RMR2"
"103","h2","HEAN",NA,NA,NA,NA,NA,"rel_RMR2"
"104","h2","HECO",NA,NA,NA,NA,NA,"rel_RMR2"
"105","h2","HEVI",NA,NA,NA,NA,NA,"rel_RMR2"
"106","h2","MACA",NA,NA,NA,NA,NA,"rel_RMR2"
"107","h2","MUPO",NA,NA,NA,NA,NA,"rel_RMR2"
"108","h2","PAMU",NA,NA,NA,NA,NA,"rel_RMR2"
"109","h2","PLPA",NA,NA,NA,NA,NA,"rel_RMR2"
"110","h2","VUOC",NA,NA,NA,NA,NA,"rel_RMR2"
"111","h3","ACMI",-0.495016857809241,-0.366027467557503,-0.0922527781112673,0.171771851335982,0.304755464980247,"rel_RMR2"
"112","h3","ARTR",-0.759547391680347,-0.579669512857913,-0.188402042937807,0.191740285604978,0.388367451860274,"rel_RMR2"
"113","h3","ELTR",-1.46747229355429,-1.24801621995756,-0.826161179573011,-0.409676495211889,-0.208196081161406,"rel_RMR2"
"114","h3","HEAN",-1.37527434184048,-1.15227432123992,-0.737976594778857,-0.329296295572,-0.121456132791525,"rel_RMR2"
"115","h3","HECO",-1.10561001168369,-0.919613642598793,-0.535129242142959,-0.138130174989158,0.0662654991176206,"rel_RMR2"
"116","h3","HEVI",-1.27334528346727,-1.06424143762871,-0.648900676521941,-0.240530169504179,-0.0107136813782737,"rel_RMR2"
"117","h3","MACA",-0.683408753797024,-0.485201415547155,-0.106687581098814,0.270358922806136,0.486007105169204,"rel_RMR2"
"118","h3","MUPO",-0.740441657135026,-0.503302393900083,-0.0504472072244579,0.364771492420427,0.612020575809348,"rel_RMR2"
"119","h3","PAMU",-1.07458132640077,-0.871219297518194,-0.460145642157187,-0.0795427193470738,0.134135108805382,"rel_RMR2"
"120","h3","PLPA",-0.73478890318526,-0.549588340058074,-0.190565377925892,0.175387067660062,0.387095097196873,"rel_RMR2"
"121","h3","VUOC",-1.18797476052393,-0.982706250127203,-0.582433112344148,-0.189714586395583,0.00319302260322313,"rel_RMR2"
"122","h4","ACMI",NA,NA,NA,NA,NA,"rel_RMR2"
"123","h4","ARTR",-0.409193276657694,-0.178016842570751,0.182625750436401,0.545252619246814,0.72871488218549,"rel_RMR2"
"124","h4","ELTR",-0.429996663285677,-0.214516799785502,0.197744419253973,0.605207622097706,0.816753536007986,"rel_RMR2"
"125","h4","HEAN",-0.470340143309782,-0.233686100726734,0.224269633472162,0.710005176487938,0.951781447842571,"rel_RMR2"
"126","h4","HECO",-0.376274675875769,-0.164401445839239,0.221645152311227,0.608124921409745,0.807701792727652,"rel_RMR2"
"127","h4","HEVI",-0.714730648473884,-0.516087950863698,-0.115512712161174,0.298537303615736,0.508952349257943,"rel_RMR2"
"128","h4","MACA",-0.320454359603703,-0.124762978665569,0.234502857141977,0.596907694513354,0.780011880303866,"rel_RMR2"
"129","h4","MUPO",-0.530716654047313,-0.30321856043562,0.130557177130196,0.564055059894827,0.79587088289196,"rel_RMR2"
"130","h4","PAMU",0.196314083606357,0.413503975681468,0.792299060894723,1.17484346906876,1.37665398040016,"rel_RMR2"
"131","h4","PLPA",-0.213368179770483,-0.00793930222203809,0.352843290994704,0.705479885757199,0.891642361984156,"rel_RMR2"
"132","h4","VUOC",-0.454520490290386,-0.247000275185839,0.130471652468861,0.514316252471804,0.712798313030859,"rel_RMR2"
"133","h1","ACMI",-0.631938171011865,-0.464013582658556,-0.207132066621193,0.059517011832641,0.224836768353791,"rel_RDMC2"
"134","h1","ARTR",-0.434154550688121,-0.296632132539979,-0.0477765344802876,0.1876374195898,0.342963136399352,"rel_RDMC2"
"135","h1","ELTR",-0.41903319579343,-0.254749456534866,0.011227210690625,0.289447001130857,0.437022879902209,"rel_RDMC2"
"136","h1","HEAN",-0.477774722627758,-0.329327676849293,-0.0559700468000294,0.221722848025163,0.366657769852433,"rel_RDMC2"
"137","h1","HECO",-0.539621809145636,-0.372741403228734,-0.121565028283623,0.141907831218814,0.293490105756098,"rel_RDMC2"
"138","h1","HEVI",0.511577945493545,0.683215685772544,0.97022238298483,1.2422341597474,1.38712390087886,"rel_RDMC2"
"139","h1","MACA",-0.754883090665084,-0.616799615518495,-0.372091084113818,-0.11240110594378,0.0334937747546629,"rel_RDMC2"
"140","h1","MUPO",-0.898758755684831,-0.721995838819255,-0.43020963580931,-0.132802929496622,0.025831598420171,"rel_RDMC2"
"141","h1","PAMU",-0.314416631179809,-0.145608094205229,0.11446017110369,0.372509118486976,0.535003440453232,"rel_RDMC2"
"142","h1","PLPA",-0.467832448586273,-0.308681512381204,-0.0444377668789168,0.206434173917013,0.361216061802852,"rel_RDMC2"
"143","h1","VUOC",-0.566093654965944,-0.414946502454352,-0.14869665675346,0.118831353418685,0.282578133200363,"rel_RDMC2"
"144","h2","ACMI",-0.444179842189214,-0.321190105715511,-0.0776399086972451,0.151241048120285,0.275355594812938,"rel_RDMC2"
"145","h2","ARTR",NA,NA,NA,NA,NA,"rel_RDMC2"
"146","h2","ELTR",NA,NA,NA,NA,NA,"rel_RDMC2"
"147","h2","HEAN",NA,NA,NA,NA,NA,"rel_RDMC2"
"148","h2","HECO",NA,NA,NA,NA,NA,"rel_RDMC2"
"149","h2","HEVI",NA,NA,NA,NA,NA,"rel_RDMC2"
"150","h2","MACA",NA,NA,NA,NA,NA,"rel_RDMC2"
"151","h2","MUPO",NA,NA,NA,NA,NA,"rel_RDMC2"
