"","Days","POP_ID","LDMC","RDMC","RMR","RTD","SLA","SRL","rel_LDMC2","rel_RDMC2","rel_RMR2","rel_RTD2","rel_SLA2","rel_SRL2","H_num","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm"
"HEAN_AZSE_HWD.116","42","HEAN_AZSE_HWD",0.108106311976949,0.0957743857036485,0.198358050847458,0.126184210526316,35.8219721767594,16.8192142857143,-0.367426891787594,-0.236436762985775,-0.145041067784417,0.195209192766429,-0.416662728254652,-0.163976091518737,"H3","HEAN","AZSE","HWD","FORB"
"HEAN_AZSE_HWD.167","84","HEAN_AZSE_HWD",0.132837086622298,0.0708302420761506,0.236422813110384,0.0844428247281445,24.4818032256704,14.8144054821559,0.228763466194482,-0.260446918497413,0.191899255413632,-0.330797218004277,-0.316570201526936,-0.119197530247367,"H4","HEAN","AZSE","HWD","FORB"
"HEAN_UTEC_CI.15","10","HEAN_UTEC_CI",0.179305555555556,0.0706889690337023,0.28381478221646,0.0774561403508772,NA,11.1326979166667,NA,NA,NA,NA,NA,NA,"H1","HEAN","UTEC","CI","FORB"
"HEAN_UTEC_CI.66","24","HEAN_UTEC_CI",0.0868354500199753,0.0467633678850134,0.283843274046329,0.0588983896668259,52.6274363883399,26.8777389643463,-0.515712439857613,-0.338463008808092,0.00010038881571271,-0.239590439182542,NA,1.41430596298746,"H2","HEAN","UTEC","CI","FORB"
"HEAN_UTEC_CI.117","42","HEAN_UTEC_CI",0.108812774462021,0.0549005663778983,0.165242799559784,0.0566822948175035,43.8580043773782,35.333298734942,0.253091616810757,0.174007965228115,-0.417837889183826,-0.0376257290200689,-0.166632323608768,0.314593418062884,"H3","HEAN","UTEC","CI","FORB"
"HEAN_UTEC_CI.168","84","HEAN_UTEC_CI",0.186772413027309,NA,NA,NA,21.1865585778426,NA,0.716456674785915,NA,NA,NA,-0.516928349143707,NA,"H4","HEAN","UTEC","CI","FORB"
"HEAN_UTEC_ONWR.16","10","HEAN_UTEC_ONWR",0.0873804080941495,0.05641240489887,0.232448991557223,0.0770588235294118,51.8766666666667,22.2497125,NA,NA,NA,NA,NA,NA,"H1","HEAN","UTEC","ONWR","FORB"
"HEAN_UTEC_ONWR.67","24","HEAN_UTEC_ONWR",0.0937086199408272,0.0526857374161808,0.28234071400509,0.0683703784713933,26.291314698852,26.4022621081263,0.0724214041190931,-0.0660611347693825,0.214635142590346,-0.112750813730011,-0.493195758551977,0.186633854622898,"H2","HEAN","UTEC","ONWR","FORB"
"HEAN_UTEC_ONWR.118","42","HEAN_UTEC_ONWR",0.146166407708559,0.0594733524021595,0.208978295065069,0.0807529732888242,24.6353366537964,25.2904419040248,0.55979682339636,0.128832115081949,-0.25983648585198,0.18111052029077,-0.0629857450653805,-0.0421107933686981,"H3","HEAN","UTEC","ONWR","FORB"
"HEAN_UTEC_ONWR.169","84","HEAN_UTEC_ONWR",0.162652444659495,0.0986181086606557,0.16572245822213,0.0978191145840828,24.1360220769544,15.6989613560894,0.112789506216826,0.658189839271188,-0.206987222426473,0.211337621392827,-0.0202682262417954,-0.379253181274344,"H4","HEAN","UTEC","ONWR","FORB"
